sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,10.30,9.49,10.05,11.05,12.17,14.32,15.30,17.12,18.03,18.03,18.11,17.46,16.76,15.23,13.42,11.18,9.85,7.07,6.08,6.71,8.49,10.63,12.73,14.14,15.56,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,14.32,14.56,15.81,15.81,15.81,14.87,15.23,14.32,13.89,13.04,12.04,12.04,12.81,13.04,14.76,15.65,16.12,17.49,18.87,19.42,18.60,18.44,17.69,16.28,14.21,1.0,3.0
0.00,6.00,7.00,8.06,8.06,8.25,8.25,7.28,6.71,5.00,5.00,4.12,6.08,7.28,7.62,8.94,9.85,10.30,9.85,8.94,7.62,5.39,3.61,2.24,1.41,3.16,5.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90,10.00,10.30,11.18,11.70,12.37,11.40,11.40,9.22,8.25,6.32,5.00,3.16,4.47,6.40,7.81,10.00,12.21,13.60,13.04,13.04,13.04,11.66,11.18,10.30,8.94,1.0,3.0
0.00,12.00,11.05,10.44,11.66,12.21,14.21,15.62,17.20,17.49,18.79,18.97,18.44,17.26,16.03,15.00,13.00,10.00,9.06,7.62,7.07,8.06,9.85,12.08,13.42,14.76,16.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.21,15.00,15.81,16.64,16.12,17.00,17.00,16.55,15.65,15.23,14.87,13.60,13.15,13.04,14.00,15.03,16.03,17.03,18.03,19.03,19.00,20.02,19.10,18.25,17.26,16.12,1.0,3.0
0.00,11.66,12.08,11.40,12.00,13.00,14.04,16.03,17.00,18.03,19.24,18.44,18.03,17.46,15.65,14.76,12.21,10.30,8.54,8.06,8.06,8.54,11.18,12.53,13.89,15.65,16.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.89,13.89,15.81,15.81,16.40,16.40,16.40,16.40,15.62,14.87,14.87,14.21,13.60,13.89,14.32,15.23,16.16,16.55,17.89,19.24,19.72,19.42,18.60,17.80,16.40,15.81,1.0,3.0
0.00,12.04,11.40,10.30,12.21,12.04,14.14,15.62,16.40,16.64,17.89,17.46,16.76,16.49,15.30,14.14,12.04,10.05,8.25,8.06,7.81,9.43,10.77,12.08,14.32,14.76,15.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,12.65,13.60,13.60,14.56,14.56,14.56,14.32,14.32,13.15,13.04,13.00,13.04,13.15,13.15,14.32,14.32,15.30,16.49,17.26,18.11,18.03,17.00,17.00,16.00,15.00,1.0,3.0
0.00,15.52,15.81,14.87,14.32,13.89,14.42,15.26,16.12,16.12,17.46,17.46,17.72,17.46,17.12,16.03,14.00,13.00,12.00,10.05,9.49,8.94,10.00,11.40,12.73,14.21,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.14,13.00,13.04,12.17,13.34,13.93,14.32,15.23,16.55,17.89,17.89,18.79,18.38,18.03,17.09,17.09,16.76,16.76,16.76,17.09,16.76,18.03,18.03,17.72,17.72,17.72,1.0,3.0
0.00,16.97,15.62,14.21,12.04,9.90,9.43,8.54,9.22,11.05,12.04,14.14,15.30,16.76,17.46,17.00,16.64,15.62,14.21,12.04,9.90,8.06,6.32,6.00,7.28,8.94,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,9.85,8.25,8.06,8.94,10.82,13.60,15.62,17.80,18.03,18.87,19.72,18.38,17.09,15.81,13.93,12.08,11.18,10.82,11.31,12.81,14.42,15.81,17.20,18.60,18.44,1.0,3.0
0.00,18.25,16.12,14.14,12.17,10.20,8.94,8.60,9.22,11.40,13.45,14.87,15.62,16.40,17.49,17.89,17.09,15.52,14.56,12.37,10.20,8.54,7.21,7.21,7.62,9.22,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,8.60,7.81,7.62,9.06,12.04,14.14,16.12,17.12,19.03,20.00,19.03,18.25,17.26,15.30,14.32,12.17,11.05,11.05,11.40,12.65,14.32,16.16,17.09,18.97,18.68,1.0,3.0
0.00,18.36,17.00,15.65,13.89,12.53,11.40,11.31,11.40,12.21,13.04,15.00,15.62,17.69,18.38,17.80,18.03,16.12,15.65,13.42,12.08,10.30,9.22,8.60,8.54,10.44,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,11.18,9.49,8.00,9.22,11.18,13.04,15.26,16.64,18.36,18.79,19.70,19.92,18.68,17.46,16.28,14.32,12.37,12.65,12.53,13.04,14.21,15.62,17.20,18.60,19.42,1.0,3.0
0.00,17.00,15.65,14.32,13.42,11.18,10.00,9.90,10.63,11.40,12.21,14.42,14.21,16.28,16.28,17.20,16.12,15.65,14.32,13.00,10.77,9.43,7.81,7.21,8.54,10.20,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.21,9.43,8.54,7.07,8.25,9.85,11.66,13.89,16.12,17.00,18.79,19.31,17.72,17.46,16.28,15.13,13.15,12.17,10.44,11.18,11.66,13.60,15.00,15.81,17.20,18.03,1.0,3.0
